"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-181a-3p",0,1,0,1,1,0,0,1,1,1329,828,2499,1,1621,0,0,0,0,1,1,1,0,1,1,0,0,1,347,0,1103,828,1,0,0
"hsa-miR-181c-5p",0,4,0,16,6,6,0,5,4,7,3,12,8,7,1,0,1,2,3,0,4,0,1,4,2,3,0,1,0,7,3,2,2,3
"hsa-miR-183-5p",0,12,1,19,19,7,1,49,15,14,7,18,23,19,14,1,3,16,3,4,11,6,3,4,2,2,1,5,16,1,7,6,15,3
"hsa-miR-194-5p",0,1,1,8,11,0,0,0,10,2,0,1,1,2,1,2,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,2,1,0
"hsa-miR-197-3p",0,6,2,15,7,4,2,11,6,57,42,96,44,36,11,0,1,3,4,2,9,3,3,0,2,2,3,5,18,15,41,19,17,11
"hsa-miR-199a-3p",0,10,5,123,0,8,1,17,0,72,13,0,18,0,12,4,1,0,11,3,0,5,3,17,11,7,2,6,9,42,18,8,26,0
"hsa-miR-19b-3p",0,5,0,13,13,6,0,0,9,2,0,7,4,3,3,0,2,3,1,3,0,0,5,5,2,1,6,2,0,3,0,2,1,1
"hsa-miR-2116-3p",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"hsa-miR-212-5p",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-27a-5p",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-296-5p",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-29a-3p",0,11,4,22,15,1,3,6,4,16,5,20,13,7,0,0,4,1,10,14,11,2,2,5,7,3,1,6,0,1,10,4,4,3
"hsa-miR-301a-3p",0,1,0,2,1,0,0,1,0,496,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,197,0,1,0,0,0,1
"hsa-miR-3200-3p",0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"hsa-miR-324-3p",0,1,1,1,0,0,1,1,1,378,0,1633,0,933,237,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
