"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-320a-3p",26,18,35,33,20,36,63,51,63,17,23,46,31,52,35,33,25,35,20,8,22,4,16,37,21,12,25,31,9,13,14,24,79,17
"hsa-miR-335-5p",5,0,0,2,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"hsa-miR-342-3p",39,18,25,12,28,31,28,69,34,48,41,47,59,66,32,21,34,20,15,18,39,26,23,9,15,29,14,11,80,20,34,62,39,58
"hsa-miR-342-5p",13,2,5,2,4,14,9,4,6,4,5,6,5,5,2,0,11,2,9,1,0,12,7,0,1,12,7,5,1,6,4,1,3,9
"hsa-miR-3614-5p",1,1,1,0,1,0,1,2,0,106,0,219,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,67,0,0,198,205,0,122
"hsa-miR-3615",1,1,1,1,1,1,1,1,1,2232,3089,3521,2775,2819,6152,0,0,1,1,0,1,1,1,1,1,0,1,2890,6619,331,369,1221,5828,3230
"hsa-miR-363-3p",23,32,30,15,38,25,8,25,47,7,6,18,9,23,13,53,13,17,18,14,18,49,25,29,4,14,26,6,7,9,9,5,10,11
"hsa-miR-373-3p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-374a-5p",1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,64,0,0,57,61,0,0
"hsa-miR-378a-3p",8,10,3,3,5,5,5,5,3,8,15,12,6,14,3,7,5,4,7,12,4,1,5,2,5,4,4,1,0,11,9,15,4,18
"hsa-miR-409-3p",7,2,0,30,13,3,9,44,32,8,7,16,2,11,3,8,0,1,12,3,3,0,3,2,1,0,1,1,3,14,7,20,1,3
"hsa-miR-425-5p",8,15,17,23,18,13,4,17,34,25,22,33,20,46,17,18,10,12,13,13,1,10,6,7,8,7,23,14,6,37,22,31,36,8
"hsa-miR-4521",5,4,0,2,3,4,0,1,3,1,2,4,5,3,2,6,0,0,1,0,6,6,5,1,3,1,1,3,6,2,1,1,1,6
"hsa-miR-4732-3p",12,9,19,1,8,3,16,7,12,2,3,6,7,10,8,29,0,11,4,4,2,23,17,8,6,12,15,13,6,6,4,3,2,0
"hsa-miR-4802-3p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-486-3p",14,16,4,7,10,13,7,10,28,3,3,6,7,13,5,20,5,12,2,4,13,7,14,2,9,8,11,14,5,3,3,2,7,0
"hsa-miR-500a-3p",7,1,0,2,2,0,0,3,2,6,3,5,2,0,0,6,0,7,2,0,0,1,1,0,15,0,0,1,2,5,2,4,4,5
