"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-139-3p",0,1,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,0
"hsa-miR-140-3p",0,27,10,24,23,66,16,60,44,6,5,6,7,7,4,10,14,14,14,1,8,8,7,11,6,14,12,1,3,2,15,5,1,9
"hsa-miR-144-5p",0,18,22,2,7,10,17,4,12,4,4,5,12,13,19,24,0,10,13,15,14,11,7,5,17,5,7,11,24,7,12,5,1,0
"hsa-miR-146b-3p",0,1,0,1,1,0,0,1,1,99,147,0,0,1,167,0,0,0,0,1,0,1,0,1,0,2,0,0,205,131,130,65,204,123
"hsa-miR-148b-3p",0,8,5,19,8,12,4,14,8,10,6,9,5,11,7,0,6,6,10,4,3,11,1,1,0,1,0,3,2,3,12,13,8,7
"hsa-miR-150-3p",0,3,0,0,0,15,11,1,5,3,5,4,5,2,4,0,2,3,0,1,1,0,0,2,0,1,0,2,1,1,2,2,11,9
"hsa-miR-153-3p",0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-16-2-3p",0,8,16,2,16,4,5,7,6,1,2,5,2,5,0,0,11,3,8,7,4,3,3,12,11,6,4,3,1,3,2,2,1,2
"hsa-miR-181a-3p",0,1,0,1,1,0,0,1,1,129,193,275,0,406,0,0,0,0,1,1,1,0,2,1,0,0,1,362,0,361,352,118,0,0
"hsa-miR-181c-5p",0,5,0,2,1,8,0,3,3,2,2,3,3,2,2,0,4,1,3,0,5,0,1,3,3,3,0,1,0,4,3,2,1,3
"hsa-miR-183-5p",0,16,5,2,5,9,4,31,10,3,4,4,10,9,20,4,7,11,3,4,15,9,2,4,2,2,1,7,27,1,4,5,7,2
"hsa-miR-194-5p",0,2,5,0,3,0,0,0,6,1,0,0,1,1,1,4,2,1,0,0,0,0,0,0,8,3,0,0,0,0,0,2,1,0
"hsa-miR-197-3p",0,7,6,2,2,4,3,7,4,12,24,22,19,17,16,0,5,2,4,2,10,3,2,0,2,2,4,6,33,9,29,19,10,12
"hsa-miR-199a-3p",0,12,14,14,0,9,2,9,0,17,7,0,8,0,17,12,4,0,11,4,0,8,3,13,17,7,2,9,15,26,12,7,14,0
"hsa-miR-19b-3p",0,6,0,0,4,8,0,0,5,0,0,2,2,1,3,0,4,2,1,3,0,0,5,4,2,1,8,3,0,2,0,2,1,1
"hsa-miR-2116-3p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"hsa-miR-212-5p",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-27a-5p",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-296-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-29a-3p",0,15,11,3,4,2,5,3,2,4,3,4,6,3,0,0,11,1,11,17,15,3,2,4,11,3,1,8,0,1,6,3,2,3
"hsa-miR-301a-3p",0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,113,0,1,0,0,0,24
"hsa-miR-3200-3p",0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"hsa-miR-324-3p",0,1,1,0,0,0,1,1,1,0,0,181,0,267,325,0,0,1,0,0,0,1,0,0,0,1,0,0,159,0,1,150,1,0
"hsa-miR-328-3p",0,4,0,9,7,7,11,30,29,3,3,2,1,2,0,0,4,1,8,0,2,2,4,0,1,3,1,0,0,7,0,5,1,1
